country_name,slug_game,medals_total,athletes_unique,avg_rank,medal_share,medals_total_lag_1,athletes_unique_lag_1,cluster,pca_1,pca_2
South Vietnam,helsinki-1952,4,7,32.0,0.0020909566126502874,0.0,0.0,2,-0.877925940980362,0.08758875235540378
South Vietnam,melbourne-1956,3,5,22.0,0.0026246719160104987,4.0,7.0,2,-0.7016651211498852,-0.45401194122972327
South Vietnam,mexico-city-1968,0,7,51.0,0.0,3.0,5.0,0,-1.2426598775078734,1.1252410151294179
South Vietnam,munich-1972,0,2,52.5,0.0,0.0,7.0,0,-1.3560000034185582,1.1813735688315221
South Vietnam,tokyo-1964,3,8,37.44444444444444,0.0016968325791855204,0.0,2.0,0,-0.9747996456611363,0.3851497049430998
Soviet Union,calgary-1988,56,78,8.398373983739837,0.12147505422993492,0.0,0.0,1,2.843386051629812,-0.33270612819349726
Soviet Union,cortina-d-ampezzo-1956,22,37,12.533333333333331,0.0944206008583691,56.0,78.0,1,2.014871335045256,-0.21170304027153183
Soviet Union,grenoble-1968,24,56,13.77,0.07717041800643087,22.0,37.0,1,1.6242034563483565,-0.3064480015739611
Soviet Union,helsinki-1952,156,154,10.304054054054054,0.08154730789336122,24.0,56.0,3,4.69526642259928,0.3378349793244493
Soviet Union,innsbruck-1964,32,54,12.303370786516854,0.11552346570397112,156.0,154.0,1,3.7145177186515013,0.39549563287145567
Soviet Union,innsbruck-1976,39,56,8.24742268041237,0.11854103343465046,32.0,54.0,1,2.6504246892913694,-0.33828028388672726
Soviet Union,lake-placid-1980,37,66,9.235849056603774,0.1167192429022082,39.0,56.0,1,2.767622037323454,-0.2414372410396162
Soviet Union,melbourne-1956,159,159,6.261484098939929,0.13910761154855644,37.0,66.0,3,5.868182488697795,0.4293562301501417
Soviet Union,mexico-city-1968,175,175,5.851063829787234,0.09495387954422138,159.0,159.0,3,6.881144340294408,0.8860781433062838
Soviet Union,montreal-1976,227,203,4.832844574780059,0.11105675146771037,175.0,175.0,3,8.340025378893314,1.2568493890373318
Soviet Union,moscow-1980,322,250,3.083333333333333,0.17424242424242425,227.0,203.0,3,11.705385718229845,2.166827084340318
Soviet Union,munich-1972,205,187,5.812101910828026,0.0948634891254049,322.0,250.0,3,9.128972521808999,1.7715704990851142
Soviet Union,rome-1960,182,168,4.909774436090226,0.10649502633118783,205.0,187.0,3,7.5665057999587155,1.0973459862455917
Soviet Union,sapporo-1972,28,56,12.041666666666666,0.09061488673139159,182.0,168.0,1,3.5809932610629938,0.3865010914946826
Soviet Union,sarajevo-1984,53,75,8.991596638655462,0.13624678663239073,28.0,56.0,1,3.2745723798659236,-0.13555390036467263
Soviet Union,seoul-1988,267,263,6.300925925925926,0.09896219421793921,53.0,75.0,3,8.095072386535607,1.067537735910402
Soviet Union,squaw-valley-1960,27,45,8.506666666666666,0.17532467532467533,267.0,263.0,3,5.670203352149815,0.8788720355188304
Soviet Union,tokyo-1964,193,185,6.420382165605096,0.10916289592760181,27.0,45.0,3,6.069846281406704,0.4836735508051707
Spain,albertville-1992,5,18,33.707317073170735,0.008012820512820512,0.0,0.0,2,-0.6756991300727018,0.23890157443270188
Spain,amsterdam-1928,39,20,8.921052631578947,0.03178484107579462,5.0,18.0,2,0.6275708057178863,-0.8652793731340297
Spain,antwerp-1920,33,16,10.30952380952381,0.025423728813559324,39.0,20.0,2,0.7355658499253879,-0.6971332002027651
Spain,athens-2004,87,147,12.635555555555555,0.03242638837122624,33.0,16.0,1,2.9853300844410016,0.00424212697446033
Spain,atlanta-1996,92,143,14.29203539823009,0.03308162531463502,87.0,147.0,1,3.5540483967876257,0.3508440771435969
Spain,barcelona-1992,116,178,14.055363321799309,0.03952299829642249,92.0,143.0,3,4.437823302742925,0.578648440192884
Spain,beijing-2008,72,144,13.966824644549764,0.02455661664392906,116.0,178.0,1,3.471735428772885,0.34819798760605364
Spain,beijing-2022,1,14,17.6875,0.0007558578987150416,72.0,144.0,2,0.1265179660746579,-0.3790558358096089
Spain,calgary-1988,1,12,41.1578947368421,0.0021691973969631237,2.0,15.0,0,-0.9885205784043097,0.6033478649969741
Spain,cortina-d-ampezzo-1956,3,7,33.214285714285715,0.012875536480686695,1.0,12.0,2,-0.7373808876853202,0.19819240181574144
Spain,garmisch-partenkirchen-1936,0,6,63.333333333333336,0.0,3.0,7.0,0,-1.4552881988036557,1.80367094965156
Spain,grenoble-1968,6,14,30.791666666666668,0.01929260450160772,0.0,6.0,2,-0.4895306554813897,0.11667226767387442
Spain,helsinki-1952,27,17,24.27586206896552,0.014113957135389441,6.0,14.0,2,-0.07842398795793169,-0.14159779602227732
Spain,innsbruck-1964,0,5,40.57142857142857,0.0,27.0,17.0,0,-0.845097123683806,0.6517295647615705
Spain,innsbruck-1976,0,4,29.875,0.0,0.0,5.0,2,-0.9640361491585957,-0.06274023823899937
Spain,lake-placid-1980,0,8,33.0,0.0,0.0,4.0,2,-0.9689436906996854,0.12042353438602724
Spain,lillehammer-1994,3,13,30.74074074074074,0.0046875,0.0,8.0,2,-0.7625708490206233,0.04018230763599453
Spain,london-1948,25,43,13.537037037037036,0.01789549033643522,3.0,13.0,2,0.3947885949470326,-0.6723978774870132
Spain,london-2012,67,131,13.863636363636363,0.025719769673704415,25.0,43.0,1,2.3233078877509503,-0.1163634240828139
Spain,los-angeles-1932,1,6,13.285714285714286,0.0015600624024961,67.0,131.0,2,0.06619535727077965,-0.6625298090957277
